Date,Classification
27-06-2025,Greed
26-06-2025,Greed
25-06-2025,Greed
24-06-2025,Greed
23-06-2025,Greed
22-06-2025,Fear
21-06-2025,Greed
20-06-2025,Greed
19-06-2025,Greed
18-06-2025,Greed
17-06-2025,Greed
16-06-2025,Greed
15-06-2025,Greed
14-06-2025,Greed
13-06-2025,Greed
12-06-2025,Greed
11-06-2025,Greed
10-06-2025,Greed
09-06-2025,Greed
08-06-2025,Greed
07-06-2025,Greed
06-06-2025,Fear
05-06-2025,Greed
04-06-2025,Greed
03-06-2025,Greed
02-06-2025,Greed
01-06-2025,Greed
31-05-2025,Greed
30-05-2025,Greed
29-05-2025,Greed
28-05-2025,Greed
27-05-2025,Greed
26-05-2025,Greed
25-05-2025,Greed
24-05-2025,Greed
23-05-2025,Extreme Greed
22-05-2025,Greed
21-05-2025,Greed
20-05-2025,Greed
19-05-2025,Greed
18-05-2025,Greed
17-05-2025,Greed
16-05-2025,Greed
15-05-2025,Greed
14-05-2025,Greed
13-05-2025,Greed
12-05-2025,Greed
11-05-2025,Greed
10-05-2025,Greed
09-05-2025,Greed
08-05-2025,Greed
07-05-2025,Greed
06-05-2025,Greed
05-05-2025,Greed
04-05-2025,Greed
03-05-2025,Greed
02-05-2025,Greed
01-05-2025,Greed
30-04-2025,Greed
29-04-2025,Greed
28-04-2025,Greed
27-04-2025,Greed
26-04-2025,Greed
25-04-2025,Greed
24-04-2025,Greed
23-04-2025,Greed
22-04-2025,Greed
21-04-2025,Fear
20-04-2025,Fear
19-04-2025,Fear
18-04-2025,Fear
17-04-2025,Fear
16-04-2025,Fear
15-04-2025,Fear
14-04-2025,Fear
13-04-2025,Fear
12-04-2025,Fear
11-04-2025,Extreme Fear
10-04-2025,Fear
09-04-2025,Extreme Fear
08-04-2025,Extreme Fear
07-04-2025,Extreme Fear
06-04-2025,Fear
05-04-2025,Fear
04-04-2025,Fear
03-04-2025,Extreme Fear
02-04-2025,Fear
01-04-2025,Fear
31-03-2025,Fear
30-03-2025,Fear
29-03-2025,Fear
28-03-2025,Fear
27-03-2025,Fear
26-03-2025,Greed
25-03-2025,Fear
24-03-2025,Fear
23-03-2025,Fear
22-03-2025,Fear
21-03-2025,Fear
20-03-2025,Greed
19-03-2025,Fear
18-03-2025,Fear
17-03-2025,Fear
16-03-2025,Fear
15-03-2025,Fear
14-03-2025,Fear
13-03-2025,Fear
12-03-2025,Fear
11-03-2025,Extreme Fear
10-03-2025,Extreme Fear
09-03-2025,Fear
08-03-2025,Fear
07-03-2025,Fear
06-03-2025,Extreme Fear
05-03-2025,Extreme Fear
04-03-2025,Extreme Fear
03-03-2025,Fear
02-03-2025,Fear
01-03-2025,Extreme Fear
28-02-2025,Extreme Fear
27-02-2025,Extreme Fear
26-02-2025,Extreme Fear
25-02-2025,Extreme Fear
24-02-2025,Greed
23-02-2025,Greed
22-02-2025,Greed
21-02-2025,Greed
20-02-2025,Greed
19-02-2025,Fear
18-02-2025,Greed
17-02-2025,Greed
16-02-2025,Greed
15-02-2025,Greed
14-02-2025,Greed
13-02-2025,Greed
12-02-2025,Fear
11-02-2025,Greed
10-02-2025,Fear
09-02-2025,Fear
08-02-2025,Fear
07-02-2025,Fear
06-02-2025,Greed
05-02-2025,Greed
04-02-2025,Greed
03-02-2025,Fear
02-02-2025,Greed
01-02-2025,Greed
31-01-2025,Extreme Greed
30-01-2025,Greed
29-01-2025,Greed
28-01-2025,Greed
27-01-2025,Greed
26-01-2025,Greed
25-01-2025,Greed
24-01-2025,Greed
23-01-2025,Greed
22-01-2025,Extreme Greed
21-01-2025,Extreme Greed
20-01-2025,Extreme Greed
19-01-2025,Extreme Greed
18-01-2025,Extreme Greed
17-01-2025,Greed
16-01-2025,Greed
15-01-2025,Greed
14-01-2025,Greed
13-01-2025,Greed
12-01-2025,Greed
11-01-2025,Greed
10-01-2025,Greed
09-01-2025,Greed
08-01-2025,Greed
07-01-2025,Extreme Greed
06-01-2025,Extreme Greed
05-01-2025,Greed
04-01-2025,Greed
03-01-2025,Greed
02-01-2025,Greed
01-01-2025,Greed
31-12-2024,Greed
30-12-2024,Greed
29-12-2024,Greed
28-12-2024,Greed
27-12-2024,Greed
26-12-2024,Extreme Greed
25-12-2024,Greed
24-12-2024,Greed
23-12-2024,Greed
22-12-2024,Greed
21-12-2024,Greed
20-12-2024,Greed
19-12-2024,Greed
18-12-2024,Extreme Greed
17-12-2024,Extreme Greed
16-12-2024,Extreme Greed
15-12-2024,Extreme Greed
14-12-2024,Extreme Greed
13-12-2024,Extreme Greed
12-12-2024,Extreme Greed
11-12-2024,Greed
10-12-2024,Extreme Greed
09-12-2024,Extreme Greed
08-12-2024,Extreme Greed
07-12-2024,Greed
06-12-2024,Greed
05-12-2024,Extreme Greed
04-12-2024,Extreme Greed
03-12-2024,Extreme Greed
02-12-2024,Extreme Greed
01-12-2024,Extreme Greed
30-11-2024,Extreme Greed
29-11-2024,Extreme Greed
28-11-2024,Extreme Greed
27-11-2024,Greed
26-11-2024,Extreme Greed
25-11-2024,Extreme Greed
24-11-2024,Extreme Greed
23-11-2024,Extreme Greed
22-11-2024,Extreme Greed
21-11-2024,Extreme Greed
20-11-2024,Extreme Greed
19-11-2024,Extreme Greed
18-11-2024,Extreme Greed
17-11-2024,Extreme Greed
16-11-2024,Extreme Greed
15-11-2024,Extreme Greed
14-11-2024,Extreme Greed
13-11-2024,Extreme Greed
12-11-2024,Extreme Greed
11-11-2024,Extreme Greed
10-11-2024,Extreme Greed
09-11-2024,Greed
08-11-2024,Greed
07-11-2024,Extreme Greed
06-11-2024,Greed
05-11-2024,Greed
04-11-2024,Greed
03-11-2024,Greed
02-11-2024,Greed
01-11-2024,Greed
31-10-2024,Extreme Greed
30-10-2024,Extreme Greed
29-10-2024,Greed
28-10-2024,Greed
27-10-2024,Greed
25-10-2024,Greed
24-10-2024,Greed
23-10-2024,Greed
22-10-2024,Greed
21-10-2024,Greed
20-10-2024,Greed
19-10-2024,Greed
18-10-2024,Greed
17-10-2024,Greed
16-10-2024,Greed
15-10-2024,Greed
14-10-2024,Greed
13-10-2024,Greed
12-10-2024,Greed
11-10-2024,Fear
10-10-2024,Fear
09-10-2024,Greed
08-10-2024,Greed
07-10-2024,Greed
06-10-2024,Greed
05-10-2024,Greed
04-10-2024,Fear
03-10-2024,Fear
